TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Male,Tertiary,1 year,Urban,Yes,Yes,1968,18.5,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,1281,14.9,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,7262,18.1,Fail
Private,Male,Tertiary,1 year,Rural,Yes,No,2058,19.4,Fail
Public,Male,Primary,None,Urban,No,Yes,5293,19.9,Fail
Private,Male,Primary,2 years,Urban,Yes,No,6178,19.4,Fail
Public,Female,Primary,None,Urban,Yes,No,7980,17.2,Fail
Private,Female,Tertiary,None,Rural,No,No,2229,14.4,Fail
Private,Female,Secondary,1 year,Rural,Yes,No,5585,16.0,Fail
Public,Female,Primary,1 year,Suburban,Yes,Yes,9467,18.2,Pass
Private,Female,Secondary,None,Urban,No,Yes,3740,19.0,Pass
Public,Male,Primary,None,Urban,Yes,Yes,3289,19.6,Fail
Private,Female,Tertiary,1 year,Urban,No,Yes,2239,17.3,Pass
Private,Female,Primary,2 years,Urban,Yes,Yes,6370,15.4,Fail
Private,Female,Tertiary,None,Rural,Yes,No,1125,19.7,Fail
Private,Male,Secondary,2 years,Urban,No,No,8473,19.6,Pass
Private,Female,Tertiary,None,Rural,No,Yes,6342,14.8,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,8351,16.5,Pass
Private,Female,Tertiary,2 years,Urban,Yes,No,7638,18.1,Fail
Public,Female,Primary,1 year,Rural,No,Yes,7570,14.3,Fail
Public,Male,Primary,None,Rural,Yes,No,4249,18.3,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,8595,11.1,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,7294,14.8,Fail
Private,Female,Secondary,1 year,Suburban,Yes,No,7527,14.8,Fail
Public,Male,Secondary,2 years,Rural,Yes,Yes,6757,16.8,Fail
Private,Male,Tertiary,1 year,Rural,Yes,No,2969,11.2,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,1891,11.0,Fail
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,5470,19.0,Fail
Private,Male,Tertiary,2 years,Urban,Yes,No,8175,13.0,Fail
Private,Male,Secondary,2 years,Suburban,Yes,No,9320,13.3,Pass
Private,Male,Secondary,None,Urban,Yes,Yes,7812,17.8,Pass
Private,Male,Tertiary,1 year,Urban,No,No,8519,14.1,Fail
Public,Female,Tertiary,2 years,Urban,Yes,No,5612,18.3,Fail
Private,Female,Secondary,None,Rural,Yes,Yes,2198,14.0,Pass
Public,Male,Secondary,None,Rural,Yes,Yes,6238,17.6,Pass
Public,Male,Primary,2 years,Urban,No,No,7089,15.3,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,7257,19.4,Pass
Private,Female,Primary,2 years,Rural,Yes,Yes,8705,13.3,Pass
Private,Female,Secondary,None,Rural,No,No,4719,13.6,Fail
Public,Female,Secondary,None,Suburban,No,Yes,1302,19.7,Fail
Public,Male,Tertiary,1 year,Rural,No,No,1986,17.4,Fail
Public,Female,Primary,None,Suburban,No,Yes,5440,17.7,Fail
Private,Male,Secondary,2 years,Suburban,No,Yes,5909,13.0,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,4072,15.3,Fail
Public,Female,Primary,1 year,Suburban,Yes,Yes,4124,13.1,Fail
Public,Male,Primary,1 year,Suburban,Yes,No,9125,12.6,Fail
Private,Female,Primary,1 year,Urban,No,No,4291,15.4,Pass
Public,Female,Primary,2 years,Urban,No,Yes,5033,19.9,Pass
Public,Male,Tertiary,1 year,Rural,Yes,Yes,6105,12.1,Fail
Private,Male,Tertiary,2 years,Suburban,No,Yes,1703,12.4,Fail
Private,Female,Primary,None,Rural,No,No,9133,12.4,Pass
Private,Female,Tertiary,2 years,Rural,No,Yes,1574,17.9,Fail
Public,Female,Secondary,1 year,Urban,Yes,No,6704,15.1,Pass
Public,Female,Primary,None,Suburban,No,No,8848,13.8,Fail
Public,Female,Tertiary,None,Rural,Yes,Yes,6208,18.4,Pass
Private,Female,Tertiary,None,Rural,Yes,No,7924,13.0,Fail
Public,Female,Secondary,1 year,Urban,No,No,4828,13.9,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,4230,10.7,Pass
Private,Female,Secondary,2 years,Urban,No,No,1488,11.2,Fail
Public,Male,Secondary,1 year,Rural,No,Yes,8114,11.4,Pass
Public,Male,Primary,1 year,Suburban,Yes,No,4173,13.5,Pass
Public,Female,Tertiary,None,Urban,No,Yes,2667,15.2,Pass
Private,Female,Tertiary,2 years,Urban,Yes,No,5114,10.0,Pass
Private,Female,Secondary,1 year,Suburban,No,No,4553,11.9,Pass
Public,Female,Tertiary,1 year,Rural,Yes,No,8761,11.8,Pass
Private,Female,Tertiary,2 years,Rural,Yes,Yes,2000,12.5,Fail
Public,Male,Tertiary,None,Suburban,No,No,2388,11.7,Pass
Public,Male,Secondary,None,Urban,Yes,No,6450,12.0,Pass
Public,Female,Tertiary,None,Suburban,Yes,No,4712,19.8,Pass
Private,Female,Tertiary,2 years,Rural,Yes,Yes,2367,15.9,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,9189,17.6,Fail
Public,Female,Primary,1 year,Urban,Yes,Yes,1454,18.2,Pass
Public,Male,Primary,1 year,Urban,No,No,3772,16.7,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,4726,17.0,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,8232,16.3,Fail
Private,Female,Tertiary,None,Rural,No,Yes,5806,16.5,Fail
Public,Female,Tertiary,None,Suburban,No,No,3190,19.3,Pass
Private,Female,Tertiary,None,Urban,Yes,No,3875,11.9,Pass
Public,Male,Tertiary,None,Rural,No,No,6592,12.7,Pass
Private,Male,Primary,1 year,Rural,No,Yes,2440,10.9,Fail
Public,Male,Secondary,1 year,Urban,No,No,9927,18.4,Pass
Private,Female,Tertiary,2 years,Rural,Yes,Yes,7059,14.5,Fail
Private,Male,Tertiary,None,Urban,No,Yes,8010,19.1,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,8117,14.1,Fail
Private,Male,Secondary,1 year,Urban,Yes,Yes,3989,14.4,Pass
Public,Female,Tertiary,1 year,Urban,Yes,No,7228,14.5,Fail
Private,Female,Tertiary,None,Suburban,Yes,Yes,7471,16.1,Pass
Private,Female,Secondary,1 year,Rural,No,No,3863,17.7,Pass
Public,Female,Tertiary,None,Rural,Yes,Yes,2177,13.5,Fail
Private,Male,Secondary,None,Urban,No,Yes,5760,16.3,Fail
Public,Male,Secondary,2 years,Urban,No,Yes,1011,12.0,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,Yes,6252,15.5,Pass
Private,Female,Primary,None,Suburban,Yes,No,5399,15.5,Fail
Private,Male,Primary,None,Rural,No,No,9234,18.9,Fail
Private,Female,Tertiary,None,Rural,Yes,No,6445,19.0,Fail
Private,Male,Secondary,1 year,Suburban,Yes,No,7570,14.9,Pass
Private,Male,Secondary,1 year,Urban,Yes,Yes,9212,10.2,Pass
Public,Female,Secondary,1 year,Suburban,No,No,1406,18.4,Pass
Public,Female,Tertiary,2 years,Rural,No,No,5431,10.0,Fail
Private,Female,Primary,None,Urban,No,Yes,6243,14.8,Fail
Private,Male,Secondary,1 year,Suburban,No,Yes,7542,10.2,Pass
Public,Female,Secondary,1 year,Rural,Yes,Yes,7936,13.5,Fail
Public,Male,Tertiary,2 years,Urban,No,No,9906,16.4,Pass
Private,Male,Primary,2 years,Urban,No,No,5146,13.7,Fail
Private,Male,Primary,None,Urban,No,Yes,1140,19.3,Fail
Private,Female,Tertiary,None,Urban,No,No,5882,16.4,Pass
Private,Male,Primary,1 year,Urban,No,Yes,7012,16.5,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,1963,13.7,Pass
Private,Female,Secondary,1 year,Urban,No,No,8151,10.4,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,9564,17.4,Fail
Private,Male,Secondary,1 year,Urban,No,No,4610,17.2,Fail
Private,Male,Tertiary,2 years,Rural,No,Yes,7894,15.3,Pass
Public,Male,Secondary,None,Urban,Yes,Yes,8311,14.2,Pass
Public,Female,Secondary,2 years,Suburban,No,Yes,1105,15.4,Fail
Public,Female,Tertiary,None,Rural,Yes,Yes,6539,17.5,Pass
Public,Female,Secondary,None,Rural,No,No,7787,17.1,Fail
Private,Female,Primary,None,Suburban,Yes,Yes,3137,16.6,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,5445,19.0,Pass
Public,Female,Primary,1 year,Suburban,Yes,No,4530,16.1,Pass
Private,Female,Secondary,None,Urban,No,Yes,2286,10.1,Pass
Public,Female,Secondary,None,Urban,Yes,No,8052,16.2,Fail
Public,Female,Secondary,2 years,Suburban,No,No,4654,16.1,Fail
Private,Male,Tertiary,2 years,Urban,No,No,8102,10.7,Fail
Private,Male,Secondary,1 year,Rural,Yes,Yes,3359,14.3,Fail
Private,Female,Primary,1 year,Urban,Yes,No,9105,16.5,Pass
Private,Female,Primary,None,Urban,Yes,Yes,9636,17.0,Pass
Private,Male,Tertiary,2 years,Rural,Yes,No,7441,18.9,Fail
Private,Male,Primary,1 year,Rural,No,No,6047,18.4,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,9227,11.2,Pass
Public,Female,Tertiary,1 year,Urban,Yes,Yes,6203,16.1,Pass
Public,Male,Secondary,2 years,Urban,No,No,2798,16.0,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,6291,13.0,Fail
Public,Male,Primary,2 years,Suburban,Yes,Yes,6495,11.8,Pass
Private,Male,Primary,2 years,Urban,Yes,No,7284,12.0,Pass
Public,Male,Secondary,2 years,Urban,No,No,8285,11.8,Pass
Private,Female,Tertiary,None,Rural,Yes,No,2300,18.1,Fail
Public,Male,Primary,None,Urban,No,Yes,7869,11.5,Fail
Private,Female,Primary,2 years,Urban,No,No,4097,12.6,Pass
Public,Male,Primary,None,Suburban,No,Yes,5616,12.2,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,1009,17.1,Pass
Public,Male,Secondary,None,Suburban,No,Yes,6752,11.6,Fail
Public,Male,Tertiary,None,Rural,No,No,7295,10.2,Fail
Private,Male,Primary,1 year,Urban,Yes,No,5815,13.7,Pass
Public,Female,Primary,2 years,Suburban,Yes,Yes,2072,13.1,Pass
Public,Female,Tertiary,None,Rural,Yes,Yes,4225,14.0,Fail
Public,Female,Secondary,None,Urban,No,Yes,2316,17.5,Pass
Public,Female,Secondary,1 year,Urban,Yes,No,6699,10.1,Fail
Public,Female,Secondary,None,Rural,No,No,7807,10.4,Fail
Private,Female,Secondary,1 year,Urban,No,No,7674,12.6,Pass
Private,Female,Primary,None,Rural,Yes,Yes,4683,18.9,Pass
Public,Male,Tertiary,1 year,Rural,Yes,Yes,8227,11.7,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,4273,20.0,Pass
Public,Male,Tertiary,2 years,Rural,Yes,No,8000,18.1,Pass
Private,Male,Secondary,2 years,Suburban,Yes,No,1145,14.6,Fail
Public,Female,Secondary,None,Urban,No,No,6010,17.5,Pass
Public,Male,Tertiary,2 years,Suburban,No,Yes,4040,15.2,Fail
Public,Male,Primary,2 years,Rural,No,No,1482,15.7,Fail
Public,Female,Secondary,2 years,Suburban,Yes,No,4179,15.8,Pass
Private,Male,Primary,None,Urban,No,Yes,2249,16.5,Pass
Private,Female,Tertiary,None,Suburban,Yes,No,1630,10.6,Fail
Private,Male,Secondary,2 years,Urban,No,No,9853,16.2,Pass
Public,Female,Primary,2 years,Rural,Yes,No,3852,17.2,Pass
Private,Male,Secondary,None,Suburban,No,No,1987,13.1,Pass
Private,Female,Tertiary,2 years,Urban,No,Yes,8622,19.8,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,8327,11.4,Pass
Public,Female,Tertiary,None,Suburban,No,Yes,9841,19.1,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,2100,16.8,Fail
Private,Male,Secondary,1 year,Suburban,No,No,7652,16.6,Pass
Private,Female,Secondary,2 years,Suburban,No,Yes,9632,18.8,Fail
Public,Male,Secondary,1 year,Suburban,No,Yes,8421,18.3,Pass
Private,Female,Tertiary,2 years,Urban,No,Yes,6016,13.5,Pass
Public,Male,Primary,2 years,Rural,No,Yes,1769,17.1,Pass
Private,Male,Tertiary,None,Urban,Yes,No,2343,10.5,Pass
Public,Female,Tertiary,None,Suburban,No,Yes,5358,14.6,Pass
Private,Male,Primary,2 years,Suburban,No,No,7780,19.4,Fail
Private,Female,Tertiary,1 year,Rural,No,No,7602,12.7,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,3349,10.5,Fail
Public,Male,Secondary,2 years,Rural,No,Yes,6699,15.8,Pass
Public,Male,Primary,None,Suburban,Yes,No,2241,13.6,Pass
Public,Male,Primary,None,Urban,No,Yes,2125,13.8,Fail
Private,Female,Secondary,None,Rural,Yes,Yes,7764,15.8,Fail
Public,Female,Primary,1 year,Urban,Yes,No,6101,16.2,Pass
Private,Male,Secondary,1 year,Suburban,Yes,No,8843,14.4,Pass
Public,Male,Tertiary,2 years,Urban,Yes,No,1072,15.1,Fail
Public,Female,Primary,1 year,Urban,Yes,No,6472,19.9,Fail
Private,Male,Primary,2 years,Urban,Yes,No,6189,19.6,Pass
Private,Female,Tertiary,2 years,Rural,No,No,3472,17.1,Pass
Public,Male,Tertiary,None,Rural,No,Yes,1707,11.6,Pass
Public,Male,Primary,None,Rural,Yes,Yes,2804,13.6,Pass
Private,Female,Primary,1 year,Urban,Yes,No,7704,18.8,Fail
Private,Male,Primary,2 years,Urban,No,Yes,4713,14.2,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,6051,19.6,Pass
Private,Female,Primary,None,Rural,No,Yes,3475,14.9,Pass
Public,Female,Primary,None,Suburban,Yes,Yes,4610,18.6,Fail
Public,Female,Tertiary,None,Urban,No,Yes,5255,10.4,Fail
Public,Female,Tertiary,1 year,Rural,Yes,No,8397,14.3,Pass
Private,Female,Secondary,2 years,Suburban,Yes,No,2735,17.0,Fail
Public,Male,Tertiary,2 years,Urban,No,Yes,9258,18.6,Fail
Public,Female,Primary,2 years,Urban,No,Yes,8979,16.1,Fail
Private,Female,Primary,None,Urban,Yes,No,3428,11.7,Fail
Private,Male,Secondary,1 year,Rural,No,No,8426,18.9,Fail
Private,Female,Tertiary,1 year,Rural,Yes,Yes,9533,15.7,Pass
Public,Male,Tertiary,None,Suburban,Yes,No,6249,11.1,Pass
Private,Female,Tertiary,1 year,Urban,Yes,No,6291,14.6,Pass
Private,Female,Secondary,1 year,Rural,Yes,Yes,3817,17.0,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,4874,14.5,Pass
Public,Male,Tertiary,None,Urban,Yes,No,5211,18.7,Pass
Public,Male,Tertiary,None,Urban,Yes,Yes,1661,14.2,Fail
Public,Female,Primary,None,Suburban,No,Yes,4374,15.8,Pass
Private,Female,Secondary,None,Suburban,No,Yes,1207,12.1,Fail
Public,Male,Primary,2 years,Suburban,Yes,Yes,3665,15.1,Pass
Private,Male,Secondary,1 year,Rural,Yes,No,3493,12.2,Fail
Public,Male,Tertiary,1 year,Rural,Yes,Yes,7813,12.3,Pass
Public,Female,Primary,2 years,Rural,Yes,No,1632,12.8,Pass
Private,Male,Tertiary,1 year,Rural,No,Yes,4083,10.4,Fail
Private,Male,Tertiary,None,Rural,Yes,Yes,4719,11.6,Pass
Private,Male,Secondary,2 years,Urban,No,Yes,8123,14.2,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,2679,11.3,Pass
Public,Male,Primary,None,Suburban,No,Yes,1236,11.3,Pass
Private,Male,Secondary,None,Suburban,No,Yes,8446,19.7,Pass
Private,Male,Secondary,None,Suburban,Yes,Yes,5443,14.3,Fail
Public,Female,Primary,1 year,Urban,No,Yes,7770,14.0,Pass
Private,Male,Tertiary,None,Rural,No,No,7099,12.7,Pass
Private,Female,Tertiary,2 years,Rural,No,No,9555,15.1,Pass
Public,Female,Tertiary,1 year,Rural,No,No,3368,16.0,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,1285,14.2,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,1148,13.9,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,5037,17.0,Fail
Public,Male,Secondary,None,Urban,No,Yes,7549,19.5,Pass
Private,Female,Primary,None,Rural,Yes,Yes,8121,18.8,Pass
Private,Male,Tertiary,None,Rural,Yes,Yes,5895,11.2,Fail
Private,Male,Tertiary,None,Rural,No,No,6280,16.5,Fail
Private,Male,Tertiary,1 year,Rural,Yes,No,2012,10.1,Pass
Public,Male,Primary,2 years,Rural,No,No,3785,16.3,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,4725,14.6,Fail
Private,Male,Secondary,2 years,Suburban,No,Yes,5576,14.9,Fail
Private,Male,Tertiary,2 years,Urban,No,Yes,6782,15.9,Fail
Private,Female,Primary,None,Urban,Yes,Yes,7257,17.4,Fail
Private,Male,Secondary,1 year,Suburban,Yes,No,3408,17.3,Fail
Public,Female,Secondary,None,Rural,No,No,1340,10.4,Fail
Private,Male,Secondary,1 year,Rural,No,Yes,3817,17.4,Pass
Public,Male,Tertiary,1 year,Rural,No,Yes,3496,18.3,Fail
Private,Male,Primary,None,Urban,No,Yes,6962,10.7,Fail
Private,Female,Primary,1 year,Urban,Yes,No,6299,13.2,Fail
Private,Female,Tertiary,None,Rural,Yes,No,8574,17.9,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,2689,14.9,Pass
Private,Female,Secondary,None,Suburban,Yes,No,4267,16.9,Pass
Public,Female,Secondary,1 year,Rural,No,Yes,5406,15.0,Pass
Public,Female,Primary,1 year,Suburban,No,Yes,9453,19.8,Fail
Private,Male,Primary,2 years,Rural,Yes,Yes,2442,19.4,Pass
Public,Male,Tertiary,2 years,Rural,No,No,9597,12.8,Fail
Public,Female,Tertiary,2 years,Rural,No,No,5437,13.9,Pass
Public,Female,Tertiary,None,Suburban,Yes,No,6435,14.3,Fail
Private,Female,Tertiary,None,Suburban,Yes,No,9435,11.0,Pass
Public,Female,Tertiary,1 year,Suburban,Yes,No,5107,14.0,Pass
Public,Female,Tertiary,2 years,Urban,Yes,Yes,1560,17.7,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,9785,18.5,Pass
Private,Male,Primary,None,Rural,Yes,No,6548,18.9,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,2826,10.1,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,8629,17.9,Fail
Public,Male,Primary,None,Rural,No,No,9325,15.0,Pass
Public,Male,Primary,None,Rural,No,No,4138,12.1,Fail
Private,Male,Primary,2 years,Rural,Yes,No,8693,15.0,Pass
Private,Male,Tertiary,2 years,Rural,Yes,No,9264,18.4,Fail
Public,Female,Tertiary,1 year,Suburban,Yes,Yes,8842,14.3,Fail
Private,Female,Tertiary,2 years,Urban,No,No,7721,19.9,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,8002,16.2,Fail
Private,Male,Primary,2 years,Urban,No,No,5225,14.9,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,3978,12.9,Fail
Public,Female,Secondary,1 year,Urban,No,Yes,8373,10.1,Fail
Public,Female,Secondary,None,Suburban,No,Yes,6907,16.1,Pass
Public,Male,Secondary,2 years,Suburban,Yes,No,7097,15.8,Fail
Public,Female,Primary,None,Suburban,Yes,Yes,6656,15.2,Fail
Private,Male,Tertiary,1 year,Suburban,No,Yes,9984,15.4,Pass
Private,Male,Tertiary,None,Suburban,No,Yes,5259,18.4,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,No,9286,13.2,Pass
Private,Male,Tertiary,2 years,Rural,Yes,No,6901,15.5,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,5917,16.8,Pass
Public,Female,Primary,1 year,Rural,Yes,No,9429,12.1,Pass
Public,Male,Tertiary,1 year,Urban,No,Yes,3530,19.2,Pass
Private,Male,Primary,None,Urban,Yes,No,2960,17.4,Fail
Public,Male,Secondary,None,Urban,No,No,8045,10.5,Fail
Public,Male,Secondary,None,Suburban,Yes,No,2048,18.7,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,6772,19.3,Fail
Private,Male,Tertiary,1 year,Suburban,Yes,Yes,3529,17.9,Pass
Public,Male,Secondary,None,Urban,No,No,3964,14.3,Fail
Private,Female,Secondary,None,Urban,Yes,Yes,8137,19.9,Fail
Public,Male,Primary,None,Urban,Yes,Yes,1963,11.2,Pass
Public,Male,Secondary,None,Rural,Yes,No,1536,15.4,Pass
Private,Male,Primary,1 year,Suburban,Yes,Yes,8340,11.7,Pass
Private,Male,Secondary,1 year,Suburban,No,Yes,8179,14.4,Fail
Public,Female,Primary,2 years,Suburban,Yes,No,8967,19.3,Pass
Public,Male,Secondary,2 years,Rural,Yes,No,9734,17.9,Fail
Public,Male,Secondary,None,Rural,Yes,Yes,1845,17.8,Fail
Private,Female,Primary,None,Rural,Yes,No,6777,13.5,Pass
Public,Male,Primary,1 year,Urban,No,Yes,4036,19.3,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,6947,13.7,Fail
Public,Female,Tertiary,None,Urban,No,No,3494,10.4,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,3719,16.4,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,2884,13.6,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,5349,11.5,Pass
Public,Female,Secondary,1 year,Rural,Yes,No,6179,19.3,Fail
Public,Male,Tertiary,None,Urban,Yes,Yes,7610,16.4,Fail
Public,Male,Primary,None,Urban,Yes,Yes,7430,19.4,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,8154,15.8,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,7488,10.6,Fail
Private,Female,Tertiary,1 year,Suburban,No,No,5737,10.3,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,No,7525,19.0,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,4850,10.4,Fail
Private,Female,Secondary,None,Suburban,Yes,No,1689,16.2,Pass
Public,Male,Secondary,None,Suburban,No,No,6175,13.0,Pass
Private,Female,Secondary,2 years,Rural,No,Yes,9648,16.9,Pass
Private,Male,Secondary,2 years,Rural,No,No,6078,12.8,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,6448,10.4,Fail
Private,Female,Secondary,2 years,Rural,Yes,Yes,2179,17.3,Pass
Public,Female,Tertiary,None,Urban,Yes,Yes,7406,13.1,Pass
Public,Male,Tertiary,None,Suburban,Yes,Yes,9591,15.5,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,7907,17.7,Pass
Public,Male,Tertiary,1 year,Rural,No,No,9800,17.0,Pass
Private,Female,Primary,None,Urban,Yes,Yes,2638,13.5,Pass
Private,Male,Secondary,2 years,Rural,No,Yes,6671,17.5,Pass
Public,Male,Primary,2 years,Suburban,No,Yes,7928,19.3,Pass
Public,Female,Secondary,None,Rural,No,Yes,2382,16.1,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,2403,17.0,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,Yes,4292,18.7,Pass
Public,Female,Primary,None,Urban,No,Yes,1419,18.4,Pass
Public,Female,Tertiary,None,Rural,No,No,5517,13.5,Fail
Public,Female,Secondary,1 year,Suburban,No,No,4302,19.9,Fail
Public,Female,Primary,None,Urban,No,No,8857,10.3,Pass
Private,Female,Secondary,1 year,Urban,No,Yes,8870,19.9,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,6693,12.5,Fail
Private,Male,Secondary,2 years,Suburban,No,No,1767,14.4,Fail
Public,Female,Secondary,None,Suburban,No,Yes,3044,18.8,Pass
Private,Male,Tertiary,2 years,Rural,Yes,No,2549,12.4,Pass
Private,Male,Secondary,None,Rural,No,Yes,7140,12.2,Pass
Public,Male,Primary,None,Suburban,No,Yes,4716,16.4,Fail
Public,Male,Tertiary,2 years,Urban,No,Yes,5481,17.1,Pass
Public,Male,Secondary,1 year,Suburban,No,Yes,8898,10.1,Fail
Public,Female,Tertiary,None,Suburban,Yes,No,7548,14.5,Pass
Public,Female,Secondary,1 year,Suburban,Yes,Yes,3293,14.9,Pass
Public,Male,Tertiary,2 years,Suburban,No,No,5837,12.7,Fail
Private,Male,Tertiary,2 years,Rural,No,No,8758,15.5,Pass
Private,Female,Primary,None,Rural,No,Yes,7793,11.5,Fail
Private,Female,Tertiary,2 years,Urban,No,No,8638,13.2,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,8993,17.1,Pass
Private,Female,Tertiary,None,Suburban,Yes,Yes,7007,18.7,Fail
Private,Male,Tertiary,None,Rural,Yes,Yes,6542,15.9,Fail
Public,Female,Secondary,None,Rural,No,No,7356,10.7,Pass
Public,Female,Secondary,None,Suburban,Yes,Yes,9433,16.8,Fail
Public,Male,Secondary,2 years,Rural,No,No,8380,19.0,Pass
Private,Female,Tertiary,None,Suburban,No,No,3385,15.0,Pass
Private,Female,Tertiary,1 year,Urban,Yes,Yes,5268,14.9,Pass
Public,Female,Primary,None,Urban,No,Yes,1671,19.9,Fail
Public,Female,Primary,None,Urban,Yes,No,1163,16.4,Fail
Public,Female,Primary,None,Suburban,Yes,No,9656,18.1,Pass
Public,Male,Secondary,2 years,Rural,No,Yes,5592,16.5,Pass
Public,Male,Secondary,1 year,Urban,Yes,Yes,5795,12.2,Fail
Private,Male,Primary,1 year,Suburban,No,Yes,5798,12.8,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,7036,16.7,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,3355,14.6,Fail
Public,Female,Secondary,2 years,Rural,Yes,No,6887,14.0,Pass
Private,Female,Primary,None,Suburban,Yes,No,8961,10.2,Fail
Public,Female,Secondary,2 years,Rural,Yes,No,6827,18.8,Fail
Private,Female,Primary,1 year,Rural,Yes,Yes,9737,18.8,Fail
Public,Female,Secondary,1 year,Rural,No,Yes,5719,14.6,Pass
Public,Female,Tertiary,2 years,Urban,No,Yes,1593,17.0,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,5839,11.8,Pass
Private,Female,Secondary,1 year,Urban,Yes,No,8394,15.0,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,4493,14.4,Fail
Private,Female,Secondary,1 year,Rural,No,No,7164,16.6,Pass
Private,Female,Primary,1 year,Urban,No,No,3672,14.7,Fail
Public,Female,Secondary,1 year,Rural,No,Yes,5200,15.0,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,1016,13.0,Fail
Private,Male,Tertiary,2 years,Rural,No,Yes,4191,10.5,Pass
Public,Female,Secondary,None,Rural,Yes,No,1392,19.2,Pass
Private,Male,Secondary,None,Rural,Yes,No,9616,10.1,Pass
Public,Female,Secondary,None,Urban,Yes,Yes,7272,12.8,Fail
Private,Female,Tertiary,2 years,Suburban,No,Yes,1571,14.5,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,4631,13.2,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,7172,15.5,Fail
Private,Male,Secondary,2 years,Suburban,Yes,No,8177,14.6,Fail
Private,Female,Secondary,1 year,Rural,Yes,Yes,9433,12.6,Pass
Private,Female,Tertiary,2 years,Urban,No,No,4897,10.9,Fail
Private,Female,Secondary,2 years,Urban,No,No,9123,11.4,Fail
Public,Female,Primary,1 year,Rural,Yes,No,3279,14.9,Pass
Public,Male,Secondary,None,Rural,Yes,No,9980,18.5,Fail
Private,Male,Tertiary,2 years,Urban,Yes,Yes,8451,11.0,Fail
Private,Female,Secondary,2 years,Urban,Yes,Yes,9906,16.8,Fail
Public,Male,Tertiary,1 year,Suburban,No,No,1775,17.9,Fail
